module_idx,module_name,label_idx,category
209,Mathlib.Algebra.Category.MonCat.Basic,0,Algebra
210,Mathlib.Algebra.Category.MonCat.Colimits,0,Algebra
211,Mathlib.Algebra.Category.MonCat.FilteredColimits,0,Algebra
212,Mathlib.Algebra.Category.MonCat.ForgetCorepresentable,0,Algebra
213,Mathlib.Algebra.Category.MonCat.Limits,0,Algebra
214,Mathlib.Algebra.Category.MonCat.Yoneda,0,Algebra
215,Mathlib.Algebra.Category.Ring.Adjunctions,0,Algebra
216,Mathlib.Algebra.Category.Ring.Basic,0,Algebra
217,Mathlib.Algebra.Category.Ring.Colimits,0,Algebra
218,Mathlib.Algebra.Category.Ring.Constructions,0,Algebra
219,Mathlib.Algebra.Category.Ring.Epi,0,Algebra
220,Mathlib.Algebra.Category.Ring.FilteredColimits,0,Algebra
221,Mathlib.Algebra.Category.Ring.FinitePresentation,0,Algebra
222,Mathlib.Algebra.Category.Ring.Instances,0,Algebra
223,Mathlib.Algebra.Category.Ring.Limits,0,Algebra
224,Mathlib.Algebra.Category.Ring.LinearAlgebra,0,Algebra
225,Mathlib.Algebra.Category.Ring.Topology,0,Algebra
226,Mathlib.Algebra.Category.Ring.Under.Basic,0,Algebra
227,Mathlib.Algebra.Category.Ring.Under.Limits,0,Algebra
228,Mathlib.Algebra.Category.Semigrp.Basic,0,Algebra
229,Mathlib.Algebra.Central.Basic,0,Algebra
230,Mathlib.Algebra.Central.Defs,0,Algebra
231,Mathlib.Algebra.Central.End,0,Algebra
232,Mathlib.Algebra.Central.Matrix,0,Algebra
233,Mathlib.Algebra.Central.TensorProduct,0,Algebra
234,Mathlib.Algebra.CharP.Algebra,0,Algebra
235,Mathlib.Algebra.CharP.Basic,0,Algebra
236,Mathlib.Algebra.CharP.CharAndCard,0,Algebra
237,Mathlib.Algebra.CharP.Defs,0,Algebra
238,Mathlib.Algebra.CharP.Frobenius,0,Algebra
239,Mathlib.Algebra.CharP.IntermediateField,0,Algebra
240,Mathlib.Algebra.CharP.Invertible,0,Algebra
241,Mathlib.Algebra.CharP.Lemmas,0,Algebra
242,Mathlib.Algebra.CharP.LinearMaps,0,Algebra
243,Mathlib.Algebra.CharP.LocalRing,0,Algebra
244,Mathlib.Algebra.CharP.MixedCharZero,0,Algebra
245,Mathlib.Algebra.CharP.Pi,0,Algebra
246,Mathlib.Algebra.CharP.Quotient,0,Algebra
247,Mathlib.Algebra.CharP.Reduced,0,Algebra
248,Mathlib.Algebra.CharP.Subring,0,Algebra
249,Mathlib.Algebra.CharP.Two,0,Algebra
250,Mathlib.Algebra.CharZero.AddMonoidHom,0,Algebra
251,Mathlib.Algebra.CharZero.Defs,0,Algebra
252,Mathlib.Algebra.CharZero.Infinite,0,Algebra
253,Mathlib.Algebra.CharZero.Quotient,0,Algebra
254,Mathlib.Algebra.Colimit.DirectLimit,0,Algebra
255,Mathlib.Algebra.Colimit.Finiteness,0,Algebra
256,Mathlib.Algebra.Colimit.Module,0,Algebra
257,Mathlib.Algebra.Colimit.Ring,0,Algebra
258,Mathlib.Algebra.Colimit.TensorProduct,0,Algebra
259,Mathlib.Algebra.ContinuedFractions.Basic,0,Algebra
260,Mathlib.Algebra.ContinuedFractions.Computation.ApproximationCorollaries,0,Algebra
261,Mathlib.Algebra.ContinuedFractions.Computation.Approximations,0,Algebra
262,Mathlib.Algebra.ContinuedFractions.Computation.Basic,0,Algebra
263,Mathlib.Algebra.ContinuedFractions.Computation.CorrectnessTerminating,0,Algebra
264,Mathlib.Algebra.ContinuedFractions.Computation.TerminatesIffRat,0,Algebra
265,Mathlib.Algebra.ContinuedFractions.Computation.Translations,0,Algebra
266,Mathlib.Algebra.ContinuedFractions.ContinuantsRecurrence,0,Algebra
267,Mathlib.Algebra.ContinuedFractions.ConvergentsEquiv,0,Algebra
268,Mathlib.Algebra.ContinuedFractions.Determinant,0,Algebra
269,Mathlib.Algebra.ContinuedFractions.TerminatedStable,0,Algebra
270,Mathlib.Algebra.ContinuedFractions.Translations,0,Algebra
271,Mathlib.Algebra.CubicDiscriminant,0,Algebra
272,Mathlib.Algebra.DirectSum.AddChar,0,Algebra
273,Mathlib.Algebra.DirectSum.Algebra,0,Algebra
274,Mathlib.Algebra.DirectSum.Basic,0,Algebra
275,Mathlib.Algebra.DirectSum.Decomposition,0,Algebra
276,Mathlib.Algebra.DirectSum.Finsupp,0,Algebra
277,Mathlib.Algebra.DirectSum.Idempotents,0,Algebra
278,Mathlib.Algebra.DirectSum.Internal,0,Algebra
279,Mathlib.Algebra.DirectSum.LinearMap,0,Algebra
280,Mathlib.Algebra.DirectSum.Module,0,Algebra
281,Mathlib.Algebra.DirectSum.Ring,0,Algebra
282,Mathlib.Algebra.Divisibility.Basic,0,Algebra
283,Mathlib.Algebra.Divisibility.Finite,0,Algebra
284,Mathlib.Algebra.Divisibility.Hom,0,Algebra
285,Mathlib.Algebra.Divisibility.Prod,0,Algebra
286,Mathlib.Algebra.Divisibility.Units,0,Algebra
287,Mathlib.Algebra.DualNumber,0,Algebra
288,Mathlib.Algebra.DualQuaternion,0,Algebra
289,Mathlib.Algebra.EuclideanDomain.Basic,0,Algebra
290,Mathlib.Algebra.EuclideanDomain.Defs,0,Algebra
291,Mathlib.Algebra.EuclideanDomain.Field,0,Algebra
292,Mathlib.Algebra.EuclideanDomain.Int,0,Algebra
293,Mathlib.Algebra.Exact,0,Algebra
294,Mathlib.Algebra.Expr,0,Algebra
295,Mathlib.Algebra.Field.Action.ConjAct,0,Algebra
296,Mathlib.Algebra.Field.Basic,0,Algebra
297,Mathlib.Algebra.Field.Defs,0,Algebra
298,Mathlib.Algebra.Field.Equiv,0,Algebra
299,Mathlib.Algebra.Field.GeomSum,0,Algebra
300,Mathlib.Algebra.Field.IsField,0,Algebra
301,Mathlib.Algebra.Field.MinimalAxioms,0,Algebra
302,Mathlib.Algebra.Field.ModEq,0,Algebra
303,Mathlib.Algebra.Field.NegOnePow,0,Algebra
304,Mathlib.Algebra.Field.Opposite,0,Algebra
305,Mathlib.Algebra.Field.Periodic,0,Algebra
306,Mathlib.Algebra.Field.Power,0,Algebra
307,Mathlib.Algebra.Field.Rat,0,Algebra
308,Mathlib.Algebra.Field.Shrink,0,Algebra
309,Mathlib.Algebra.Field.Subfield.Basic,0,Algebra
310,Mathlib.Algebra.Field.Subfield.Defs,0,Algebra
311,Mathlib.Algebra.Field.TransferInstance,0,Algebra
312,Mathlib.Algebra.Field.ULift,0,Algebra
313,Mathlib.Algebra.Field.ZMod,0,Algebra
314,Mathlib.Algebra.FiveLemma,0,Algebra
315,Mathlib.Algebra.Free,0,Algebra
316,Mathlib.Algebra.FreeAbelianGroup.Finsupp,0,Algebra
317,Mathlib.Algebra.FreeAbelianGroup.UniqueSums,0,Algebra
318,Mathlib.Algebra.FreeAlgebra,0,Algebra
319,Mathlib.Algebra.FreeAlgebra.Cardinality,0,Algebra
320,Mathlib.Algebra.FreeMonoid.Basic,0,Algebra
321,Mathlib.Algebra.FreeMonoid.Count,0,Algebra
322,Mathlib.Algebra.FreeMonoid.Symbols,0,Algebra
323,Mathlib.Algebra.FreeMonoid.UniqueProds,0,Algebra
324,Mathlib.Algebra.FreeNonUnitalNonAssocAlgebra,0,Algebra
325,Mathlib.Algebra.GCDMonoid.Basic,0,Algebra
326,Mathlib.Algebra.GCDMonoid.Finset,0,Algebra
327,Mathlib.Algebra.GCDMonoid.FinsetLemmas,0,Algebra
328,Mathlib.Algebra.GCDMonoid.IntegrallyClosed,0,Algebra
329,Mathlib.Algebra.GCDMonoid.Multiset,0,Algebra
330,Mathlib.Algebra.GCDMonoid.Nat,0,Algebra
331,Mathlib.Algebra.GCDMonoid.PUnit,0,Algebra
332,Mathlib.Algebra.GradedMonoid,0,Algebra
333,Mathlib.Algebra.GradedMulAction,0,Algebra
334,Mathlib.Algebra.Group.Action.Basic,0,Algebra
335,Mathlib.Algebra.Group.Action.Defs,0,Algebra
336,Mathlib.Algebra.Group.Action.End,0,Algebra
337,Mathlib.Algebra.Group.Action.Equidecomp,0,Algebra
338,Mathlib.Algebra.Group.Action.Faithful,0,Algebra
339,Mathlib.Algebra.Group.Action.Hom,0,Algebra
340,Mathlib.Algebra.Group.Action.Opposite,0,Algebra
341,Mathlib.Algebra.Group.Action.Option,0,Algebra
342,Mathlib.Algebra.Group.Action.Pi,0,Algebra
343,Mathlib.Algebra.Group.Action.Pointwise.Finset,0,Algebra
344,Mathlib.Algebra.Group.Action.Pointwise.Set.Basic,0,Algebra
345,Mathlib.Algebra.Group.Action.Pointwise.Set.Finite,0,Algebra
346,Mathlib.Algebra.Group.Action.Pretransitive,0,Algebra
347,Mathlib.Algebra.Group.Action.Prod,0,Algebra
348,Mathlib.Algebra.Group.Action.Sigma,0,Algebra
349,Mathlib.Algebra.Group.Action.Sum,0,Algebra
350,Mathlib.Algebra.Group.Action.TransferInstance,0,Algebra
351,Mathlib.Algebra.Group.Action.TypeTags,0,Algebra
352,Mathlib.Algebra.Group.Action.Units,0,Algebra
353,Mathlib.Algebra.Group.AddChar,0,Algebra
354,Mathlib.Algebra.Group.Basic,0,Algebra
355,Mathlib.Algebra.Group.Center,0,Algebra
356,Mathlib.Algebra.Group.Commutator,0,Algebra
357,Mathlib.Algebra.Group.Commute.Basic,0,Algebra
358,Mathlib.Algebra.Group.Commute.Defs,0,Algebra
359,Mathlib.Algebra.Group.Commute.Hom,0,Algebra
360,Mathlib.Algebra.Group.Commute.Units,0,Algebra
361,Mathlib.Algebra.Group.Conj,0,Algebra
362,Mathlib.Algebra.Group.ConjFinite,0,Algebra
363,Mathlib.Algebra.Group.Defs,0,Algebra
364,Mathlib.Algebra.Group.Embedding,0,Algebra
365,Mathlib.Algebra.Group.End,0,Algebra
366,Mathlib.Algebra.Group.Equiv.Basic,0,Algebra
367,Mathlib.Algebra.Group.Equiv.Defs,0,Algebra
368,Mathlib.Algebra.Group.Equiv.Finite,0,Algebra
369,Mathlib.Algebra.Group.Equiv.Opposite,0,Algebra
