module_idx,module_name,category,source,description
2289,Mathlib.CategoryTheory.Abelian.GrothendieckCategory.Subobject,CategoryTheory,name_tokens,category theory category theory abelian grothendieck category subobject
2290,Mathlib.CategoryTheory.Abelian.Images,CategoryTheory,name_tokens,category theory category theory abelian images
2291,Mathlib.CategoryTheory.Abelian.Indization,CategoryTheory,name_tokens,category theory category theory abelian indization
2292,Mathlib.CategoryTheory.Abelian.Injective.Basic,CategoryTheory,name_tokens,category theory category theory abelian injective basic
2293,Mathlib.CategoryTheory.Abelian.Injective.Dimension,CategoryTheory,name_tokens,category theory category theory abelian injective dimension
2294,Mathlib.CategoryTheory.Abelian.Injective.Ext,CategoryTheory,name_tokens,category theory category theory abelian injective ext
2295,Mathlib.CategoryTheory.Abelian.Injective.Extend,CategoryTheory,name_tokens,category theory category theory abelian injective extend
2296,Mathlib.CategoryTheory.Abelian.Injective.Resolution,CategoryTheory,name_tokens,category theory category theory abelian injective resolution
2297,Mathlib.CategoryTheory.Abelian.LeftDerived,CategoryTheory,name_tokens,category theory category theory abelian left derived
2298,Mathlib.CategoryTheory.Abelian.Monomorphisms,CategoryTheory,name_tokens,category theory category theory abelian monomorphisms
2299,Mathlib.CategoryTheory.Abelian.NonPreadditive,CategoryTheory,name_tokens,category theory category theory abelian non preadditive
2300,Mathlib.CategoryTheory.Abelian.Opposite,CategoryTheory,name_tokens,category theory category theory abelian opposite
2301,Mathlib.CategoryTheory.Abelian.Preradical.Basic,CategoryTheory,name_tokens,category theory category theory abelian preradical basic
2302,Mathlib.CategoryTheory.Abelian.Projective.Basic,CategoryTheory,name_tokens,category theory category theory abelian projective basic
2303,Mathlib.CategoryTheory.Abelian.Projective.Dimension,CategoryTheory,name_tokens,category theory category theory abelian projective dimension
2304,Mathlib.CategoryTheory.Abelian.Projective.Ext,CategoryTheory,name_tokens,category theory category theory abelian projective ext
2305,Mathlib.CategoryTheory.Abelian.Projective.Extend,CategoryTheory,name_tokens,category theory category theory abelian projective extend
2306,Mathlib.CategoryTheory.Abelian.Projective.Resolution,CategoryTheory,name_tokens,category theory category theory abelian projective resolution
2307,Mathlib.CategoryTheory.Abelian.Pseudoelements,CategoryTheory,name_tokens,category theory category theory abelian pseudoelements
2308,Mathlib.CategoryTheory.Abelian.Refinements,CategoryTheory,name_tokens,category theory category theory abelian refinements
2309,Mathlib.CategoryTheory.Abelian.RightDerived,CategoryTheory,name_tokens,category theory category theory abelian right derived
2310,Mathlib.CategoryTheory.Abelian.SerreClass.Basic,CategoryTheory,name_tokens,category theory category theory abelian serre class basic
2311,Mathlib.CategoryTheory.Abelian.SerreClass.Bousfield,CategoryTheory,name_tokens,category theory category theory abelian serre class bousfield
2312,Mathlib.CategoryTheory.Abelian.SerreClass.MorphismProperty,CategoryTheory,name_tokens,category theory category theory abelian serre class morphism property
2313,Mathlib.CategoryTheory.Abelian.Subobject,CategoryTheory,name_tokens,category theory category theory abelian subobject
2314,Mathlib.CategoryTheory.Abelian.Transfer,CategoryTheory,name_tokens,category theory category theory abelian transfer
2315,Mathlib.CategoryTheory.Abelian.Yoneda,CategoryTheory,name_tokens,category theory category theory abelian yoneda
2316,Mathlib.CategoryTheory.Action,CategoryTheory,name_tokens,category theory category theory action
2317,Mathlib.CategoryTheory.Action.Basic,CategoryTheory,name_tokens,category theory category theory action basic
2318,Mathlib.CategoryTheory.Action.Concrete,CategoryTheory,name_tokens,category theory category theory action concrete
2319,Mathlib.CategoryTheory.Action.Continuous,CategoryTheory,name_tokens,category theory category theory action continuous
2320,Mathlib.CategoryTheory.Action.Limits,CategoryTheory,name_tokens,category theory category theory action limits
2321,Mathlib.CategoryTheory.Action.Monoidal,CategoryTheory,name_tokens,category theory category theory action monoidal
2322,Mathlib.CategoryTheory.Adhesive,CategoryTheory,name_tokens,category theory category theory adhesive
2323,Mathlib.CategoryTheory.Adhesive.Basic,CategoryTheory,name_tokens,category theory category theory adhesive basic
2324,Mathlib.CategoryTheory.Adjunction.Additive,CategoryTheory,name_tokens,category theory category theory adjunction additive
2325,Mathlib.CategoryTheory.Adjunction.AdjointFunctorTheorems,CategoryTheory,name_tokens,category theory category theory adjunction adjoint functor theorems
2326,Mathlib.CategoryTheory.Adjunction.Basic,CategoryTheory,name_tokens,category theory category theory adjunction basic
2327,Mathlib.CategoryTheory.Adjunction.Comma,CategoryTheory,name_tokens,category theory category theory adjunction comma
2328,Mathlib.CategoryTheory.Adjunction.CompositionIso,CategoryTheory,name_tokens,category theory category theory adjunction composition iso
