mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,hier_bonus
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Primitive,GroupTheory,0.4348,0.0,0.4348,-1,,1,2,0.7755,0.0435
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.4407,0.0,0.4407,0,HIGH,2,1,0.6441,0.0441
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.3512,0.0,0.3512,-1,,3,3,0.5449,0.0408
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.MultiplePrimitivity,GroupTheory,0.3455,0.0,0.3455,-1,,4,4,0.5417,0.0408
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.IterateAct,GroupTheory,0.3427,0.0,0.3427,-1,,5,7,0.5378,0.0408
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Pointwise,GroupTheory,0.3437,0.0,0.3437,-1,,6,5,0.5344,0.0408
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.3437,0.0,0.3437,-1,,7,6,0.5344,0.0408
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.3401,0.0,0.3401,-1,,8,8,0.5293,0.0408
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Ring,GroupTheory,0.3383,0.0,0.3383,-1,,9,9,0.5268,0.0408
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Support,GroupTheory,0.3326,0.0,0.3326,-1,,10,10,0.5188,0.0408
pgroup,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.4066,0.0,0.4066,0,HIGH,1,1,0.7266,0.0407
pgroup,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3167,0.0,0.3167,-1,,2,2,0.3636,0.0317
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.3086,0.0,0.3086,-1,,3,5,0.3554,0.0309
pgroup,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3106,0.0,0.3106,-1,,4,3,0.3545,0.0311
pgroup,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3098,0.0,0.3098,-1,,5,4,0.3533,0.031
pgroup,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3078,0.0,0.3078,-1,,6,6,0.3195,0.0
pgroup,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3074,0.0,0.3074,-1,,7,7,0.3189,0.0
pgroup,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3067,0.0,0.3067,-1,,8,8,0.3179,0.0
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3036,0.0,0.3036,-1,,9,10,0.3175,0.0
