mc_module,ml_module,base_score,concept,synonym,text_v3,broad_pen,reranked
all_solvable,Mathlib.GroupTheory.Torsion,0.2227,0.0,0.0,0.0908,0.0,0.2318
all_solvable,Mathlib.GroupTheory.Nilpotent,0.2142,0.0,0.0,0.0569,0.0,0.2199
all_solvable,Mathlib.GroupTheory.QuotientGroup.ModEq,0.2,0.0,0.0,0.0,0.0,0.2
all_solvable,Mathlib.GroupTheory.QuotientGroup.Finite,0.2,0.0,0.0,0.0,0.0,0.2
all_solvable,Mathlib.GroupTheory.QuotientGroup.Defs,0.2,0.0,0.0,0.0,0.0,0.2
all_solvable,Mathlib.GroupTheory.QuotientGroup.Basic,0.2,0.0,0.0,0.0,0.0,0.2
all_solvable,Mathlib.GroupTheory.PushoutI,0.2,0.0,0.0,0.0,0.0,0.2
all_solvable,Mathlib.GroupTheory.PresentedGroup,0.2,0.0,0.0,0.0,0.0,0.2
extraspecial,Mathlib.GroupTheory.Nilpotent,0.396,0.0,0.0,0.1006,0.0,0.4061
extraspecial,Mathlib.GroupTheory.Subgroup.Simple,0.3716,0.0,0.0,0.0747,0.0,0.3791
extraspecial,Mathlib.GroupTheory.Abelianization.Defs,0.3696,0.0,0.0,0.0685,0.0,0.3764
extraspecial,Mathlib.GroupTheory.SpecificGroups.Quaternion,0.3453,0.0,0.0,0.3367,0.0,0.379
extraspecial,Mathlib.GroupTheory.Perm.ViaEmbedding,0.3357,0.0,0.0,0.0297,0.0,0.3387
extraspecial,Mathlib.GroupTheory.Rank,0.3304,0.0,0.0,0.1549,0.0,0.3459
extraspecial,Mathlib.GroupTheory.Exponent,0.3257,0.0,0.0,0.136,0.0,0.3393
extraspecial,Mathlib.GroupTheory.SpecificGroups.Dihedral,0.3243,0.0,0.0,0.2529,0.0,0.3496
extraspecial,Mathlib.GroupTheory.Archimedean,0.3206,0.0,0.0,0.1157,0.0,0.3322
extraspecial,Mathlib.GroupTheory.Torsion,0.3196,0.0,0.0,0.1115,0.0,0.3308
gseries,Mathlib.GroupTheory.IsSubnormal,0.413,0.2,0.1111,0.302,0.0,0.5021
gseries,Mathlib.GroupTheory.Nilpotent,0.3153,0.0,0.0,0.1469,0.0,0.33
gseries,Mathlib.GroupTheory.Solvable,0.308,0.0,0.0,0.1176,0.0,0.3198
gseries,Mathlib.GroupTheory.Index,0.3061,0.0,0.0,0.1101,0.0,0.3171
gseries,Mathlib.GroupTheory.Commensurable,0.3029,0.0,0.0,0.0972,0.0,0.3126
gseries,Mathlib.GroupTheory.Frattini,0.3024,0.0,0.0,0.0955,0.0,0.3119
gseries,Mathlib.GroupTheory.Archimedean,0.2984,0.0,0.0,0.0795,0.0,0.3063
gseries,Mathlib.GroupTheory.Focal,0.2935,0.0,0.0,0.0598,0.0,0.2995
gseries,Mathlib.GroupTheory.Coset.Card,0.2931,0.0,0.0,0.0976,0.0,0.3029
gseries,Mathlib.GroupTheory.Coset.Defs,0.2925,0.0,0.0,0.0948,0.0,0.302
frobenius,Mathlib.GroupTheory.Transfer,0.3931,0.0,0.0,0.0914,0.0,0.4022
frobenius,Mathlib.GroupTheory.Index,0.3843,0.0,0.0,0.0632,0.0,0.3906
frobenius,Mathlib.GroupTheory.SemidirectProduct,0.379,0.0,0.0,0.138,0.0,0.3928
frobenius,Mathlib.GroupTheory.Nilpotent,0.3738,0.0,0.0,0.0295,0.0,0.3767
