mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2216,0.0554,0.2769,-1,,10
center,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.4875,0.0,0.4875,0,HIGH,1
center,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.4788,0.0,0.4788,-1,,2
center,solvable,Mathlib.GroupTheory.Subsemigroup.Center,GroupTheory,0.4774,0.0,0.4774,-1,,3
center,solvable,Mathlib.Algebra.Group.Center,Algebra,0.4113,0.0,0.4113,-1,,4
center,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3443,0.0,0.3443,-1,,5
center,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3418,0.0,0.3418,-1,,6
center,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3387,0.0,0.3387,-1,,7
center,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3358,0.0,0.3358,-1,,8
center,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3321,0.0,0.3321,-1,,9
center,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.3316,0.0,0.3316,-1,,10
sylow,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.4973,0.0,0.4973,0,HIGH,1
sylow,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3604,0.0,0.3604,-1,,2
sylow,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3517,0.0,0.3517,-1,,3
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3496,0.0,0.3496,-1,,4
sylow,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3398,0.0,0.3398,-1,,5
sylow,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3189,0.0,0.3189,-1,,6
sylow,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3183,0.0,0.3183,-1,,7
sylow,solvable,Mathlib.GroupTheory.RegularWreathProduct,GroupTheory,0.3148,0.0,0.3148,-1,,8
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,GroupTheory,0.3119,0.0,0.3119,-1,,9
sylow,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.308,0.0,0.308,-1,,10
all_solvable,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4306,0.0,0.4306,0,HIGH,1
all_solvable,solvable,Mathlib.Algebra.Lie.Solvable,Algebra,0.2284,0.0,0.2284,-1,,2
all_solvable,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2227,0.0,0.2227,-1,,3
all_solvable,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2142,0.0,0.2142,-1,,4
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.ModEq,GroupTheory,0.2,0.0,0.2,-1,,5
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2,0.0,0.2,-1,,6
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Defs,GroupTheory,0.2,0.0,0.2,-1,,7
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Basic,GroupTheory,0.2,0.0,0.2,-1,,8
all_solvable,solvable,Mathlib.GroupTheory.PushoutI,GroupTheory,0.2,0.0,0.2,-1,,9
all_solvable,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.2,0.0,0.2,-1,,10
extraspecial,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3168,0.0792,0.396,1,MEDIUM,1
extraspecial,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2972,0.0743,0.3716,-1,,2
extraspecial,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2957,0.0739,0.3696,-1,,3
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3453,0.0,0.3453,-1,,4
extraspecial,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2685,0.0671,0.3357,-1,,5
extraspecial,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.3304,0.0,0.3304,-1,,6
extraspecial,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3257,0.0,0.3257,-1,,7
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3243,0.0,0.3243,-1,,8
extraspecial,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3206,0.0,0.3206,-1,,9
extraspecial,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3196,0.0,0.3196,-1,,10
gseries,solvable,Mathlib.GroupTheory.IsSubnormal,GroupTheory,0.413,0.0,0.413,0,HIGH,1
gseries,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3153,0.0,0.3153,-1,,2
gseries,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.308,0.0,0.308,-1,,3
gseries,solvable,Mathlib.GroupTheory.Index,GroupTheory,0.3061,0.0,0.3061,-1,,4
gseries,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3029,0.0,0.3029,-1,,5
gseries,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3024,0.0,0.3024,-1,,6
gseries,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.2984,0.0,0.2984,-1,,7
gseries,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.2935,0.0,0.2935,-1,,8
gseries,solvable,Mathlib.GroupTheory.Coset.Card,GroupTheory,0.2931,0.0,0.2931,-1,,9
gseries,solvable,Mathlib.GroupTheory.Coset.Defs,GroupTheory,0.2925,0.0,0.2925,-1,,10
frobenius,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3145,0.0786,0.3931,1,MEDIUM,1
frobenius,solvable,Mathlib.GroupTheory.Index,GroupTheory,0.3075,0.0769,0.3843,-1,,2
frobenius,solvable,Mathlib.GroupTheory.SemidirectProduct,GroupTheory,0.3032,0.0758,0.379,-1,,3
frobenius,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.299,0.0748,0.3738,-1,,4
frobenius,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2981,0.0745,0.3727,-1,,5
frobenius,solvable,Mathlib.GroupTheory.PushoutI,GroupTheory,0.2953,0.0738,0.3691,-1,,6
frobenius,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2885,0.0721,0.3607,-1,,7
frobenius,solvable,Mathlib.GroupTheory.CosetCover,GroupTheory,0.2807,0.0702,0.3509,-1,,8
frobenius,solvable,Mathlib.GroupTheory.HNNExtension,GroupTheory,0.2801,0.07,0.3502,-1,,9
