mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.IterateAct,GroupTheory,0.3469,0.0,0.3469,-1,,5
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.3456,0.0,0.3456,-1,,6
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Pointwise,GroupTheory,0.341,0.0,0.341,-1,,7
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Ring,GroupTheory,0.3387,0.0,0.3387,-1,,8
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.3376,0.0,0.3376,-1,,9
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.ConjAct,GroupTheory,0.3326,0.0,0.3326,-1,,10
pgroup,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.4068,0.0,0.4068,0,HIGH,1
pgroup,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3189,0.0,0.3189,-1,,2
pgroup,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3117,0.0,0.3117,-1,,3
pgroup,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3066,0.0,0.3066,-1,,4
pgroup,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3065,0.0,0.3065,-1,,5
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.3056,0.0,0.3056,-1,,6
pgroup,solvable,Mathlib.GroupTheory.Coset.Card,GroupTheory,0.3053,0.0,0.3053,-1,,7
pgroup,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3049,0.0,0.3049,-1,,8
pgroup,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3048,0.0,0.3048,-1,,9
pgroup,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3041,0.0,0.3041,-1,,10
maximal,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3672,0.0,0.3672,0,HIGH-UNCERTAIN,1
maximal,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.3553,0.0,0.3553,-1,,2
maximal,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.3522,0.0,0.3522,-1,,3
maximal,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.333,0.0,0.333,-1,,4
