mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
sylow,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2413,0.0,0.2413,-1,,8
sylow,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.237,0.0,0.237,-1,,9
sylow,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.2367,0.0,0.2367,-1,,10
all_solvable,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4088,0.0,0.4088,0,HIGH,1
all_solvable,solvable,Mathlib.Algebra.Lie.Solvable,Algebra,0.2855,0.0,0.2855,-1,,2
all_solvable,solvable,Mathlib.Data.Bool.AllAny,Data,0.1539,0.0,0.1539,-1,,3
all_solvable,solvable,Mathlib.GroupTheory.Submonoid.Centralizer,GroupTheory,0.15,0.0,0.15,-1,,4
all_solvable,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.15,0.0,0.15,-1,,5
all_solvable,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.15,0.0,0.15,-1,,6
all_solvable,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.15,0.0,0.15,-1,,7
all_solvable,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.15,0.0,0.15,-1,,8
all_solvable,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.15,0.0,0.15,-1,,9
all_solvable,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.15,0.0,0.15,-1,,10
extraspecial,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2494,0.0624,0.3118,2,MEDIUM,1
extraspecial,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2459,0.0615,0.3073,-1,,2
extraspecial,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2352,0.0588,0.2941,-1,,3
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.294,0.0,0.294,-1,,4
extraspecial,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.2922,0.0,0.2922,-1,,5
extraspecial,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.2851,0.0,0.2851,-1,,6
extraspecial,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2229,0.0557,0.2786,-1,,7
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.2779,0.0,0.2779,-1,,8
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.2738,0.0,0.2738,-1,,9
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.2717,0.0,0.2717,-1,,10
gseries,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.2186,0.0547,0.2733,3,MEDIUM-LOW,1
gseries,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.2185,0.0546,0.2731,-1,,2
gseries,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.2183,0.0546,0.2729,-1,,3
gseries,solvable,Mathlib.GroupTheory.IsSubnormal,GroupTheory,0.2648,0.0,0.2648,-1,,4
gseries,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.2113,0.0528,0.2641,-1,,5
gseries,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.2088,0.0522,0.2609,-1,,6
gseries,solvable,Mathlib.GroupTheory.GroupAction.Primitive,GroupTheory,0.2082,0.0521,0.2603,-1,,7
gseries,solvable,Mathlib.GroupTheory.GroupAction.Defs,GroupTheory,0.2071,0.0518,0.2589,-1,,8
gseries,solvable,Mathlib.GroupTheory.GroupAction.Hom,GroupTheory,0.2071,0.0518,0.2589,-1,,9
gseries,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.2472,0.0,0.2472,-1,,10
frobenius,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2364,0.0591,0.2955,2,MEDIUM,1
frobenius,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2316,0.0579,0.2896,-1,,2
frobenius,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.2851,0.0,0.2851,-1,,3
frobenius,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2241,0.056,0.2801,-1,,4
frobenius,solvable,Mathlib.Algebra.CharP.Frobenius,Algebra,0.2698,0.0,0.2698,-1,,5
frobenius,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2116,0.0529,0.2645,-1,,6
frobenius,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.2628,0.0,0.2628,-1,,7
frobenius,solvable,Mathlib.GroupTheory.GroupAction.Period,GroupTheory,0.2606,0.0,0.2606,-1,,8
frobenius,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.2606,0.0,0.2606,-1,,9
