mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,concept_bonus,synonym_bonus,text_v3_contrib,decl_contrib
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.IterateAct,GroupTheory,0.3427,0.0,0.3427,-1,,6,7,0.497,0.125,0.0089,0.0204,0.0
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Pointwise,GroupTheory,0.3437,0.0,0.3437,-1,,7,5,0.4936,0.125,0.0114,0.0135,0.0
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.3437,0.0,0.3437,-1,,8,6,0.4936,0.125,0.0114,0.0135,0.0
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Ring,GroupTheory,0.3383,0.0,0.3383,-1,,9,9,0.486,0.125,0.0114,0.0113,0.0
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Support,GroupTheory,0.3326,0.0,0.3326,-1,,10,10,0.4781,0.125,0.0114,0.009,0.0
pgroup,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.4066,0.0,0.4066,0,HIGH,1,1,0.7256,0.25,0.02,0.0093,0.0397
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3036,0.0,0.3036,-1,,2,10,0.3775,0.0,0.0,0.0139,0.06
pgroup,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3067,0.0,0.3067,-1,,3,8,0.3406,0.0,0.0,0.0112,0.0227
pgroup,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3044,0.0,0.3044,-1,,4,9,0.3398,0.0,0.0,0.0104,0.0251
pgroup,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3078,0.0,0.3078,-1,,5,6,0.336,0.0,0.0,0.0117,0.0165
pgroup,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3167,0.0,0.3167,-1,,6,2,0.3319,0.0,0.0,0.0152,0.0
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.3086,0.0,0.3086,-1,,7,5,0.3245,0.0,0.0,0.0159,0.0
pgroup,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3106,0.0,0.3106,-1,,8,3,0.3234,0.0,0.0,0.0128,0.0
pgroup,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3098,0.0,0.3098,-1,,9,4,0.3223,0.0,0.0,0.0125,0.0
pgroup,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3074,0.0,0.3074,-1,,10,7,0.3189,0.0,0.0,0.0115,0.0
maximal,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.334,0.0,0.334,-1,,1,4,0.6215,0.25,0.0114,0.0261,0.0
maximal,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.3081,0.0,0.3081,-1,,2,7,0.5973,0.25,0.008,0.0232,0.0079
maximal,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3447,0.0,0.3447,1,MEDIUM,3,1,0.432,0.0,0.0,0.0212,0.0661
maximal,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.3404,0.0,0.3404,-1,,4,2,0.3832,0.0,0.0,0.0195,0.0233
maximal,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3017,0.0,0.3017,-1,,5,8,0.376,0.0,0.0,0.0407,0.0337
maximal,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.3392,0.0,0.3392,-1,,6,3,0.3582,0.0,0.0,0.019,0.0
maximal,solvable,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,GroupTheory,0.2916,0.0,0.2916,-1,,7,9,0.3369,0.0,0.0,0.0122,0.0331
maximal,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.323,0.0,0.323,-1,,8,5,0.3355,0.0,0.0,0.0125,0.0
maximal,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.3093,0.0,0.3093,-1,,9,6,0.3337,0.0,0.0,0.0071,0.0174
maximal,solvable,Mathlib.GroupTheory.CosetCover,GroupTheory,0.2297,0.0574,0.2871,-1,,10,10,0.3153,0.0,0.0,0.0119,0.0163
jordanholder,solvable,Mathlib.Order.JordanHolder,Order,0.3346,0.0,0.3346,1,MEDIUM,1,1,0.5206,0.125,0.0133,0.0238,0.0239
jordanholder,solvable,Mathlib.GroupTheory.IsSubnormal,GroupTheory,0.2665,0.0,0.2665,-1,,2,6,0.4025,0.0625,0.01,0.0266,0.0369
jordanholder,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2314,0.0579,0.2893,-1,,3,4,0.368,0.0,0.0,0.0126,0.0661
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.2978,0.0,0.2978,-1,,4,2,0.3253,0.0,0.0,0.0171,0.0104
